Unnamed: 0.1,Unnamed: 0,ID,GENDER,SKIN TONE,OUTFITS,SUMMER OUTFIT,WINTER OUTFIT,SPRING OUTFIT,AGE,HEIGHT (CM),WEIGHT (KG),SHIRT SIZE,SHIRT,PANT SIZE,PANT,OUTFITS_processed,SUMMER OUTFIT_processed,WINTER OUTFIT_processed,SPRING OUTFIT_processed,out,summer,winter,spring
0,0,1,male,Extremely Fair Skin,"Emerald green,Navy","Deep purple,Ruby,red,Dull orange","Icy blue,Charcol","Blush pink,Soft gray",18,,,,,,,"['forestgreen', 'sagegreen', 'lightnavy', 'mint', 'bluemelange', 'mediumblue', 'indigoblue', 'bluewhite', 'pistagreen', 'olivegreen', 'green', 'lightindigo', 'olive', 'skyblue', 'denimblue', 'blue', 'lightblue', 'bluenight', 'royalblue', 'armygreen', 'greentint', 'turquoise', 'mintgreen', 'aqua', 'limegreen', 'navy', 'midnightblue', 'electricblue', 'navychecks', 'greenmelange', 'darkgreen', 'navyblue', 'teal']","['whitenavy', 'mustard', 'rednavy', 'white', 'lavender', 'pink', 'whitegrey', 'neonpink', 'ivory', 'cream', 'orange', 'whitemelange', 'ruby', 'lilac', 'redmelange', 'burntorange', 'red', 'bloodred', 'offwhite', 'whiteblue', 'whiteblack', 'saffron', 'orangeind', 'mustardyellow', 'purple', 'whitegreen', 'whitewine', 'lightpink', 'vintagered', 'yellow', 'plum', 'darkpurple', 'watermelon red', 'lightwhite', 'coral', 'cherry', 'babyblue', 'gold', 'darkred', 'apricotorange', 'whites', 'dustypink', 'limeyellow', 'tomatored', 'amethyst', 'hotpink', 'whiterinse', 'peach', 'rose', 'lightorange', 'violet', 'redorange', 'whiteswan', 'petalpink', 'whitegold']","['lightnavy', 'bluemelange', 'mediumblue', 'indigoblue', 'bluewhite', 'lightindigo', 'skyblue', 'denimblue', 'blue', 'lightblue', 'bluenight', 'royalblue', 'turquoise', 'aqua', 'navy', 'midnightblue', 'electricblue', 'navychecks', 'navyblue', 'teal', 'charcol']","['greymelange', 'steelgrey', 'rednavy', 'pink', 'neonpink', 'greymel', 'ltgrey', 'ruby', 'redmelange', 'burntorange', 'red', 'bloodred', 'coolgrey', 'saffron', 'lightpink', 'darkgrey', 'vintagered', 'watermelon red', 'charcoalgrey', 'cherry', 'babyblue', 'darkred', 'dustypink', 'tomatored', 'grey', 'greyblack', 'hotpink', 'rose', 'redorange', 'gray', 'petalpink', 'greygdmel', 'midgrey', 'greymelanged', 'greysilver']","green,blue","purple,red,red,orange","blue,grey","pink,grey"
1,1,2,female,Medium Skin,"Brown,Yellow,Grey,Orange","Dusty rose,Saffron","Deep oranges,sky blue","Lavender,Sunny yellow",34,,,,,,,"['greymelange', 'mustard', 'steelgrey', 'rust', 'darkbrown', 'darkolive', 'chocolate', 'midgrey', 'beige', 'cream', 'orange', 'ltgrey', 'greymel', 'auburn', 'burntorange', 'coolgrey', 'saffron', 'orangeind', 'mustardyellow', 'darkgrey', 'yellow', 'charcoalgrey', 'khaki', 'greygdmel', 'gold', 'apricotorange', 'lightbrown', 'coffee', 'camel', 'limeyellow', 'grey', 'greyblack', 'peach', 'lightorange', 'gray', 'coral', 'brown', 'greymelanged', 'caramel', 'greysilver']","['rednavy', 'pink', 'neonpink', 'ruby', 'redmelange', 'burntorange', 'red', 'bloodred', 'saffron', 'lightpink', 'vintagered', 'watermelon red', 'cherry', 'babyblue', 'darkred', 'dustypink', 'tomatored', 'hotpink', 'rose', 'redorange', 'petalpink']","['lightnavy', 'bluemelange', 'mediumblue', 'indigoblue', 'bluewhite', 'lightindigo', 'oranges', 'skyblue', 'denimblue', 'blue', 'lightblue', 'bluenight', 'royalblue', 'turquoise', 'aqua', 'navy', 'midnightblue', 'electricblue', 'navychecks', 'navyblue', 'teal']","['whitenavy', 'mustard', 'rednavy', 'white', 'lavender', 'whitegrey', 'ivory', 'cream', 'whitemelange', 'ruby', 'lilac', 'redmelange', 'burntorange', 'red', 'bloodred', 'offwhite', 'whiteblue', 'whiteblack', 'saffron', 'mustardyellow', 'purple', 'whitegreen', 'whitewine', 'vintagered', 'yellow', 'plum', 'darkpurple', 'watermelon red', 'lightwhite', 'cherry', 'gold', 'darkred', 'whites', 'limeyellow', 'tomatored', 'amethyst', 'whiterinse', 'rose', 'violet', 'redorange', 'whiteswan', 'whitegold']","brown,yellow,grey,orange","pink,yellow","orange,blue","purple,yellow"
2,2,3,male,Olive Skin,"Rich brown,Olive green,Deep red","Creamy whites,Green,,Orange"," Emerald green,Sapphire blue","Warm pink,Mustard yellow",55,,,,,,,"['forestgreen', 'sagegreen', 'whitenavy', 'mustard', 'rednavy', 'mint', 'rust', 'darkbrown', 'white', 'darkolive', 'chocolate', 'pink', 'whitegrey', 'neonpink', 'beige', 'ivory', 'cream', 'orange', 'whitemelange', 'ruby', 'auburn', 'pistagreen', 'olivegreen', 'redmelange', 'burntorange', 'red', 'green', 'bloodred', 'offwhite', 'olive', 'whiteblue', 'saffron', 'whiteblack', 'orangeind', 'mustardyellow', 'whitegreen', 'whitewine', 'lightpink', 'vintagered', 'yellow', 'armygreen', 'greentint', 'watermelon red', 'mintgreen', 'khaki', 'lightwhite', 'coral', 'cherry', 'limegreen', 'gold', 'darkred', 'babyblue', 'lightbrown', 'whites', 'apricotorange', 'coffee', 'camel', 'dustypink', 'limeyellow', 'tomatored', 'greenmelange', 'hotpink', 'whiterinse', 'peach', 'darkgreen', 'rose', 'lightorange', 'redorange', 'whiteswan', 'petalpink', 'whitegold', 'brown', 'caramel']","['', 'whitenavy', 'forestgreen', 'mustard', 'rednavy', 'mint', 'sagegreen', 'white', 'whitegrey', 'ivory', 'cream', 'orange', 'whitemelange', 'ruby', 'pistagreen', 'redmelange', 'olivegreen', 'burntorange', 'red', 'offwhite', 'bloodred', 'whiteblue', 'green', 'whiteblack', 'saffron', 'olive', 'orangeind', 'mustardyellow', 'whitegreen', 'whitewine', 'vintagered', 'yellow', 'armygreen', 'greentint', 'watermelon red', 'mintgreen', 'lightwhite', 'coral', 'cherry', 'limegreen', 'gold', 'darkred', 'apricotorange', 'whites', 'limeyellow', 'tomatored', 'whiterinse', 'greenmelange', 'peach', 'darkgreen', 'rose', 'lightorange', 'redorange', 'whiteswan', 'whitegold']","['forestgreen', 'sagegreen', 'lightnavy', 'mint', 'bluemelange', 'mediumblue', 'indigoblue', 'bluewhite', 'pistagreen', 'olivegreen', 'green', 'lightindigo', 'olive', 'skyblue', 'denimblue', 'blue', 'lightblue', 'bluenight', 'royalblue', 'armygreen', 'greentint', 'turquoise', 'mintgreen', 'aqua', 'limegreen', 'navy', 'midnightblue', 'electricblue', 'navychecks', 'greenmelange', 'darkgreen', 'navyblue', 'teal']","['whitenavy', 'mustard', 'rednavy', 'white', 'pink', 'whitegrey', 'neonpink', 'ivory', 'cream', 'whitemelange', 'ruby', 'redmelange', 'burntorange', 'red', 'bloodred', 'offwhite', 'whiteblue', 'whiteblack', 'saffron', 'mustardyellow', 'whitegreen', 'whitewine', 'lightpink', 'vintagered', 'yellow', 'watermelon red', 'lightwhite', 'cherry', 'babyblue', 'gold', 'darkred', 'whites', 'dustypink', 'limeyellow', 'hotpink', 'tomatored', 'whiterinse', 'rose', 'redorange', 'whiteswan', 'petalpink', 'whitegold']","brown,green,red","white,green,unknown,orange","green,blue","pink,yellow"
3,3,4,male,Medium Skin,"Brown,Yellow,Grey,Orange","Dusty rose,Saffron","Deep oranges,sky blue","Lavender,Sunny yellow",60,,,,,,,"['greymelange', 'mustard', 'steelgrey', 'rust', 'darkbrown', 'darkolive', 'chocolate', 'midgrey', 'beige', 'cream', 'orange', 'ltgrey', 'greymel', 'auburn', 'burntorange', 'coolgrey', 'saffron', 'orangeind', 'mustardyellow', 'darkgrey', 'yellow', 'charcoalgrey', 'khaki', 'greygdmel', 'gold', 'apricotorange', 'lightbrown', 'coffee', 'camel', 'limeyellow', 'grey', 'greyblack', 'peach', 'lightorange', 'gray', 'coral', 'brown', 'greymelanged', 'caramel', 'greysilver']","['rednavy', 'pink', 'neonpink', 'ruby', 'redmelange', 'burntorange', 'red', 'bloodred', 'saffron', 'lightpink', 'vintagered', 'watermelon red', 'cherry', 'babyblue', 'darkred', 'dustypink', 'tomatored', 'hotpink', 'rose', 'redorange', 'petalpink']","['lightnavy', 'bluemelange', 'mediumblue', 'indigoblue', 'bluewhite', 'lightindigo', 'oranges', 'skyblue', 'denimblue', 'blue', 'lightblue', 'bluenight', 'royalblue', 'turquoise', 'aqua', 'navy', 'midnightblue', 'electricblue', 'navychecks', 'navyblue', 'teal']","['whitenavy', 'mustard', 'rednavy', 'white', 'lavender', 'whitegrey', 'ivory', 'cream', 'whitemelange', 'ruby', 'lilac', 'redmelange', 'burntorange', 'red', 'bloodred', 'offwhite', 'whiteblue', 'whiteblack', 'saffron', 'mustardyellow', 'purple', 'whitegreen', 'whitewine', 'vintagered', 'yellow', 'plum', 'darkpurple', 'watermelon red', 'lightwhite', 'cherry', 'gold', 'darkred', 'whites', 'limeyellow', 'tomatored', 'amethyst', 'whiterinse', 'rose', 'violet', 'redorange', 'whiteswan', 'whitegold']","brown,yellow,grey,orange","pink,yellow","orange,blue","purple,yellow"
4,4,5,female,Brown Skin,"Navy blue,Peach,Purple","White,Grey","Mustard yellow,chocolate brown","Mustard yellow,Mint green",8,,,,,,,"['lightnavy', 'bluemelange', 'mediumblue', 'lavender', 'indigoblue', 'orange', 'bluewhite', 'lilac', 'burntorange', 'lightindigo', 'orangeind', 'purple', 'skyblue', 'denimblue', 'blue', 'lightblue', 'bluenight', 'royalblue', 'plum', 'darkpurple', 'turquoise', 'aqua', 'apricotorange', 'navy', 'midnightblue', 'electricblue', 'navychecks', 'amethyst', 'peach', 'lightorange', 'navyblue', 'violet', 'teal', 'coral']","['whitenavy', 'greymelange', 'steelgrey', 'white', 'whitegrey', 'ivory', 'cream', 'greymel', 'whitemelange', 'ltgrey', 'offwhite', 'whiteblue', 'whiteblack', 'coolgrey', 'whitegreen', 'whitewine', 'darkgrey', 'charcoalgrey', 'lightwhite', 'greygdmel', 'whites', 'grey', 'whiterinse', 'greyblack', 'whiteswan', 'gray', 'whitegold', 'midgrey', 'greymelanged', 'greysilver']","['whitenavy', 'mustard', 'rednavy', 'rust', 'darkbrown', 'white', 'darkolive', 'chocolate', 'whitegrey', 'beige', 'ivory', 'cream', 'whitemelange', 'ruby', 'auburn', 'redmelange', 'burntorange', 'red', 'offwhite', 'bloodred', 'whiteblue', 'whiteblack', 'saffron', 'mustardyellow', 'whitegreen', 'whitewine', 'vintagered', 'yellow', 'watermelon red', 'khaki', 'lightwhite', 'cherry', 'gold', 'darkred', 'lightbrown', 'whites', 'coffee', 'camel', 'limeyellow', 'tomatored', 'whiterinse', 'rose', 'redorange', 'whiteswan', 'whitegold', 'brown', 'caramel']","['forestgreen', 'sagegreen', 'whitenavy', 'mustard', 'rednavy', 'mint', 'white', 'whitegrey', 'ivory', 'cream', 'whitemelange', 'ruby', 'pistagreen', 'olivegreen', 'redmelange', 'burntorange', 'red', 'green', 'offwhite', 'whiteblue', 'olive', 'whiteblack', 'saffron', 'bloodred', 'mustardyellow', 'whitegreen', 'whitewine', 'vintagered', 'yellow', 'armygreen', 'greentint', 'watermelon red', 'mintgreen', 'lightwhite', 'cherry', 'limegreen', 'gold', 'darkred', 'whites', 'limeyellow', 'tomatored', 'greenmelange', 'whiterinse', 'darkgreen', 'rose', 'redorange', 'whiteswan', 'whitegold']","blue,orange,purple","white,grey","yellow,brown","yellow,green"
5,5,6,male,Under Tone,"Grey,Brown,Blue,Green","Grey,Brown,Blue,Green","Mint green,Navy blue","Baby pink,Yellow,Mint",33,,,,,,,"['forestgreen', 'sagegreen', 'greymelange', 'lightnavy', 'steelgrey', 'mint', 'rust', 'bluemelange', 'darkbrown', 'mediumblue', 'darkolive', 'chocolate', 'midgrey', 'beige', 'indigoblue', 'greymel', 'ltgrey', 'bluewhite', 'pistagreen', 'auburn', 'olivegreen', 'green', 'lightindigo', 'olive', 'coolgrey', 'skyblue', 'denimblue', 'blue', 'lightblue', 'bluenight', 'royalblue', 'darkgrey', 'armygreen', 'greentint', 'turquoise', 'mintgreen', 'charcoalgrey', 'aqua', 'khaki', 'limegreen', 'lightbrown', 'navy', 'coffee', 'midnightblue', 'electricblue', 'navychecks', 'camel', 'greenmelange', 'grey', 'greyblack', 'darkgreen', 'navyblue', 'teal', 'gray', 'greygdmel', 'brown', 'greymelanged', 'caramel', 'greysilver']","['forestgreen', 'sagegreen', 'greymelange', 'lightnavy', 'steelgrey', 'mint', 'rust', 'bluemelange', 'darkbrown', 'mediumblue', 'darkolive', 'chocolate', 'midgrey', 'beige', 'indigoblue', 'greymel', 'ltgrey', 'bluewhite', 'pistagreen', 'auburn', 'olivegreen', 'green', 'lightindigo', 'olive', 'coolgrey', 'skyblue', 'denimblue', 'blue', 'lightblue', 'bluenight', 'royalblue', 'darkgrey', 'armygreen', 'greentint', 'turquoise', 'mintgreen', 'charcoalgrey', 'aqua', 'khaki', 'limegreen', 'lightbrown', 'navy', 'coffee', 'midnightblue', 'electricblue', 'navychecks', 'camel', 'greenmelange', 'grey', 'greyblack', 'darkgreen', 'navyblue', 'teal', 'gray', 'greygdmel', 'brown', 'greymelanged', 'caramel', 'greysilver']","['forestgreen', 'sagegreen', 'lightnavy', 'mint', 'bluemelange', 'mediumblue', 'indigoblue', 'bluewhite', 'pistagreen', 'olivegreen', 'green', 'lightindigo', 'olive', 'skyblue', 'denimblue', 'blue', 'lightblue', 'bluenight', 'royalblue', 'armygreen', 'greentint', 'turquoise', 'mintgreen', 'aqua', 'limegreen', 'navy', 'midnightblue', 'electricblue', 'navychecks', 'greenmelange', 'darkgreen', 'navyblue', 'teal']","['forestgreen', 'sagegreen', 'mustard', 'rednavy', 'mint', 'pink', 'neonpink', 'cream', 'ruby', 'pistagreen', 'olivegreen', 'redmelange', 'burntorange', 'red', 'green', 'bloodred', 'olive', 'saffron', 'mustardyellow', 'lightpink', 'vintagered', 'yellow', 'armygreen', 'greentint', 'watermelon red', 'mintgreen', 'cherry', 'limegreen', 'babyblue', 'darkred', 'gold', 'dustypink', 'tomatored', 'hotpink', 'greenmelange', 'limeyellow', 'darkgreen', 'rose', 'redorange', 'petalpink']","grey,brown,blue,green","grey,brown,blue,green","green,blue","pink,yellow,green"
6,6,7,female,Olive Skin,"Rich brown,Olive green,Deep red","Creamy whites,Green,,Orange"," Emerald green,Sapphire blue","Warm pink,Mustard yellow",21,,,,,,,"['forestgreen', 'sagegreen', 'whitenavy', 'mustard', 'rednavy', 'mint', 'rust', 'darkbrown', 'white', 'darkolive', 'chocolate', 'pink', 'whitegrey', 'neonpink', 'beige', 'ivory', 'cream', 'orange', 'whitemelange', 'ruby', 'auburn', 'pistagreen', 'olivegreen', 'redmelange', 'burntorange', 'red', 'green', 'bloodred', 'offwhite', 'olive', 'whiteblue', 'saffron', 'whiteblack', 'orangeind', 'mustardyellow', 'whitegreen', 'whitewine', 'lightpink', 'vintagered', 'yellow', 'armygreen', 'greentint', 'watermelon red', 'mintgreen', 'khaki', 'lightwhite', 'coral', 'cherry', 'limegreen', 'gold', 'darkred', 'babyblue', 'lightbrown', 'whites', 'apricotorange', 'coffee', 'camel', 'dustypink', 'limeyellow', 'tomatored', 'greenmelange', 'hotpink', 'whiterinse', 'peach', 'darkgreen', 'rose', 'lightorange', 'redorange', 'whiteswan', 'petalpink', 'whitegold', 'brown', 'caramel']","['', 'whitenavy', 'forestgreen', 'mustard', 'rednavy', 'mint', 'sagegreen', 'white', 'whitegrey', 'ivory', 'cream', 'orange', 'whitemelange', 'ruby', 'pistagreen', 'redmelange', 'olivegreen', 'burntorange', 'red', 'offwhite', 'bloodred', 'whiteblue', 'green', 'whiteblack', 'saffron', 'olive', 'orangeind', 'mustardyellow', 'whitegreen', 'whitewine', 'vintagered', 'yellow', 'armygreen', 'greentint', 'watermelon red', 'mintgreen', 'lightwhite', 'coral', 'cherry', 'limegreen', 'gold', 'darkred', 'apricotorange', 'whites', 'limeyellow', 'tomatored', 'whiterinse', 'greenmelange', 'peach', 'darkgreen', 'rose', 'lightorange', 'redorange', 'whiteswan', 'whitegold']","['forestgreen', 'sagegreen', 'lightnavy', 'mint', 'bluemelange', 'mediumblue', 'indigoblue', 'bluewhite', 'pistagreen', 'olivegreen', 'green', 'lightindigo', 'olive', 'skyblue', 'denimblue', 'blue', 'lightblue', 'bluenight', 'royalblue', 'armygreen', 'greentint', 'turquoise', 'mintgreen', 'aqua', 'limegreen', 'navy', 'midnightblue', 'electricblue', 'navychecks', 'greenmelange', 'darkgreen', 'navyblue', 'teal']","['whitenavy', 'mustard', 'rednavy', 'white', 'pink', 'whitegrey', 'neonpink', 'ivory', 'cream', 'whitemelange', 'ruby', 'redmelange', 'burntorange', 'red', 'bloodred', 'offwhite', 'whiteblue', 'whiteblack', 'saffron', 'mustardyellow', 'whitegreen', 'whitewine', 'lightpink', 'vintagered', 'yellow', 'watermelon red', 'lightwhite', 'cherry', 'babyblue', 'gold', 'darkred', 'whites', 'dustypink', 'limeyellow', 'hotpink', 'tomatored', 'whiterinse', 'rose', 'redorange', 'whiteswan', 'petalpink', 'whitegold']","brown,green,red","white,green,unknown,orange","green,blue","pink,yellow"
7,7,8,female,Medium Skin,"Brown,Yellow,Grey,Orange","Dusty rose,Saffron","Deep oranges,sky blue","Lavender,Sunny yellow",25,,,,,,,"['greymelange', 'mustard', 'steelgrey', 'rust', 'darkbrown', 'darkolive', 'chocolate', 'midgrey', 'beige', 'cream', 'orange', 'ltgrey', 'greymel', 'auburn', 'burntorange', 'coolgrey', 'saffron', 'orangeind', 'mustardyellow', 'darkgrey', 'yellow', 'charcoalgrey', 'khaki', 'greygdmel', 'gold', 'apricotorange', 'lightbrown', 'coffee', 'camel', 'limeyellow', 'grey', 'greyblack', 'peach', 'lightorange', 'gray', 'coral', 'brown', 'greymelanged', 'caramel', 'greysilver']","['rednavy', 'pink', 'neonpink', 'ruby', 'redmelange', 'burntorange', 'red', 'bloodred', 'saffron', 'lightpink', 'vintagered', 'watermelon red', 'cherry', 'babyblue', 'darkred', 'dustypink', 'tomatored', 'hotpink', 'rose', 'redorange', 'petalpink']","['lightnavy', 'bluemelange', 'mediumblue', 'indigoblue', 'bluewhite', 'lightindigo', 'oranges', 'skyblue', 'denimblue', 'blue', 'lightblue', 'bluenight', 'royalblue', 'turquoise', 'aqua', 'navy', 'midnightblue', 'electricblue', 'navychecks', 'navyblue', 'teal']","['whitenavy', 'mustard', 'rednavy', 'white', 'lavender', 'whitegrey', 'ivory', 'cream', 'whitemelange', 'ruby', 'lilac', 'redmelange', 'burntorange', 'red', 'bloodred', 'offwhite', 'whiteblue', 'whiteblack', 'saffron', 'mustardyellow', 'purple', 'whitegreen', 'whitewine', 'vintagered', 'yellow', 'plum', 'darkpurple', 'watermelon red', 'lightwhite', 'cherry', 'gold', 'darkred', 'whites', 'limeyellow', 'tomatored', 'amethyst', 'whiterinse', 'rose', 'violet', 'redorange', 'whiteswan', 'whitegold']","brown,yellow,grey,orange","pink,yellow","orange,blue","purple,yellow"
8,8,9,female,Cool Skin Under Tone,"Charcol grey,Deep blue","Soft white,Clear watermelon red","Mint green,purple","Baby pink,Lavender shade",26,,,,,,,"['greymelange', 'steelgrey', 'lightnavy', 'bluemelange', 'mediumblue', 'indigoblue', 'greymel', 'ltgrey', 'bluewhite', 'lightindigo', 'coolgrey', 'skyblue', 'denimblue', 'blue', 'lightblue', 'bluenight', 'royalblue', 'darkgrey', 'turquoise', 'charcoalgrey', 'aqua', 'navy', 'midnightblue', 'electricblue', 'navychecks', 'grey', 'greyblack', 'navyblue', 'teal', 'gray', 'greygdmel', 'midgrey', 'greymelanged', 'greysilver']","['whitenavy', 'mustard', 'rednavy', 'white', 'pink', 'whitegrey', 'neonpink', 'ivory', 'cream', 'orange', 'whitemelange', 'ruby', 'redmelange', 'burntorange', 'red', 'offwhite', 'bloodred', 'whiteblue', 'whiteblack', 'saffron', 'orangeind', 'mustardyellow', 'whitegreen', 'whitewine', 'lightpink', 'vintagered', 'yellow', 'watermelon red', 'lightwhite', 'coral', 'cherry', 'babyblue', 'gold', 'darkred', 'apricotorange', 'whites', 'dustypink', 'limeyellow', 'tomatored', 'whiterinse', 'hotpink', 'peach', 'rose', 'lightorange', 'redorange', 'whiteswan', 'petalpink', 'whitegold']","['forestgreen', 'sagegreen', 'mint', 'lavender', 'lilac', 'pistagreen', 'olivegreen', 'green', 'olive', 'purple', 'plum', 'armygreen', 'darkpurple', 'greentint', 'mintgreen', 'limegreen', 'amethyst', 'greenmelange', 'darkgreen', 'violet']","['rednavy', 'pink', 'neonpink', 'ruby', 'redmelange', 'burntorange', 'red', 'bloodred', 'saffron', 'lightpink', 'vintagered', 'shade', 'watermelon red', 'cherry', 'babyblue', 'darkred', 'dustypink', 'tomatored', 'hotpink', 'rose', 'redorange', 'petalpink']","grey,blue","white,red","green,purple","pink,grey"
9,9,10,male,Neutral Skin Under Tone,"Dusky pink,Medium green","Soft white,Light blue,Light pink","Light blue,Navy blue","Soft pink,Mint",45,,,,,,,"['forestgreen', 'sagegreen', 'rednavy', 'mint', 'pink', 'neonpink', 'ruby', 'pistagreen', 'olivegreen', 'redmelange', 'burntorange', 'red', 'green', 'bloodred', 'olive', 'saffron', 'lightpink', 'vintagered', 'armygreen', 'greentint', 'watermelon red', 'mintgreen', 'cherry', 'babyblue', 'limegreen', 'darkred', 'dustypink', 'tomatored', 'hotpink', 'greenmelange', 'darkgreen', 'rose', 'redorange', 'petalpink']","['whitenavy', 'lightnavy', 'mustard', 'rednavy', 'bluemelange', 'white', 'mediumblue', 'pink', 'whitegrey', 'neonpink', 'ivory', 'indigoblue', 'cream', 'whitemelange', 'ruby', 'bluewhite', 'redmelange', 'burntorange', 'red', 'offwhite', 'lightindigo', 'whiteblue', 'bloodred', 'whiteblack', 'saffron', 'mustardyellow', 'skyblue', 'denimblue', 'blue', 'whitegreen', 'lightblue', 'whitewine', 'royalblue', 'bluenight', 'lightpink', 'vintagered', 'yellow', 'watermelon red', 'turquoise', 'aqua', 'lightwhite', 'cherry', 'babyblue', 'gold', 'darkred', 'navy', 'whites', 'dustypink', 'midnightblue', 'electricblue', 'navychecks', 'limeyellow', 'whiterinse', 'hotpink', 'tomatored', 'rose', 'navyblue', 'redorange', 'teal', 'whiteswan', 'petalpink', 'whitegold']","['lightnavy', 'bluemelange', 'mediumblue', 'indigoblue', 'bluewhite', 'lightindigo', 'skyblue', 'denimblue', 'blue', 'lightblue', 'bluenight', 'royalblue', 'turquoise', 'aqua', 'navy', 'midnightblue', 'electricblue', 'navychecks', 'navyblue', 'teal']","['forestgreen', 'sagegreen', 'rednavy', 'mint', 'pink', 'neonpink', 'ruby', 'pistagreen', 'olivegreen', 'redmelange', 'burntorange', 'red', 'green', 'bloodred', 'olive', 'saffron', 'lightpink', 'vintagered', 'armygreen', 'greentint', 'watermelon red', 'mintgreen', 'cherry', 'limegreen', 'babyblue', 'darkred', 'dustypink', 'tomatored', 'hotpink', 'greenmelange', 'darkgreen', 'rose', 'redorange', 'petalpink']","pink,green","white,blue,pink","blue,blue","pink,green"
